industry_skill,gap_status,demand_percentage,recommended_priority,recommended_action,explanation
DMS & CX technology expertise  Consultative,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rdi,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reaction,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
React/Angular,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DMRD,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DME BE,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DM/DNB In Medical Gastroentrology,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DM Tools,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DM Medical Gastroenterologist,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DITA,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DISPLAYS,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DIN Rail,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DIETITICS,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DGMS Compliance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
React.JS Javascript,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
React.JS,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
React native bare workflow,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
React Native Js,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Ready to travel,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reader,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DFX,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DFADFM,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DEX,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DES,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DEPS,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DELIVER DESIGNS,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DEC,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reacts,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reactive systems,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reactive Programming,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reactive Maintenance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reactive Forms,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reactive Form,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reactivation Officer,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rear Lamp,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real-time management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real estate projects,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real estate marketing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real estate laws and regulations,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real Time Analyst,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real Estate Transactions,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real Estate Law,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real Estate Funding,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real Estate Documentation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real Estate Customer Sourcing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real Estate Crm,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Real Estate / Land Deals,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Readymix,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Ready-mix concrete,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Ready to travel on bike,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Receivables,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Receivable & Payable,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rece,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recall,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rebar Sales,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rebar,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DDD,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DCS integration,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DCS SAFETY,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DCP,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DCI,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DCA,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DC Policy Delivery,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DBTools,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DB2/400,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DB2 UDB Administration,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DAY PROCESS,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DAX,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DATAWAREHOUSE,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DAST Testing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DALLE,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DAG,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
D365 integration architectures,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
D365 Supply Chain Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
D365 Functional,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
D365 Finance domain,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
D365 Finance Functional,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
D365 Finance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Receivables Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Receivables Finance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Receivables And Payments,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Receivables Accounting,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cybersecurity Trainer,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cybersecurity Sales,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cybersecurity Risk Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recruitment Executive,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recruitment & Selection,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recovery Operations,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recovery Matters,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recovery Executive,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recovery Agent,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recording,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Record keeping,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reconciliations,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reconciliation Of Payment Gateway,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recipe Development,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reception Handling,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
DB developer,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Red melon juiciness,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Red Herring,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Red Hat Certification,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recvue,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recruitment Training,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recruitment Operation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Recruitment Manager Finance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
D365 CRM,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
D.pharm,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
D Pharma,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cystoscopy,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cypress automation tests,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cypress Automation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cypher,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cycle Time,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cycle Count,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Redmine,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Redhat Cluster,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber-security,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Security Trends,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Security Tools,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Security Solution Sales,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Security Defense Center,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Security Compliance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Security BD,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Security Audit,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Security Analyst,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Security Analysis Or Administration,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Security Analysis,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Redgate,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
RedHat Enterprise Linux,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
RedHat Core OS,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Referral Marketing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Referencing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Risk,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cyber Resilience,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cxone implementation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cxo Hiring,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cutting oil,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cutting Tool,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cutover Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
References,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reference Programs,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reference Data,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Ref Cursor,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reel Making,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Redundancy Logic,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reduction,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer support operations,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regulated Market,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regrow Biosciences,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regression,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Registered Nurse,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regional Technical Valuation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regional Sales trainer,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regional Sales Manager,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regional Sales Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regional Medical Advisor,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regional Accounts Executive,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Refrigerator,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Refractory,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Refining,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Refined Products,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Refinance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regulators,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer service transformation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer service training,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer service operations,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer service Representative,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer loyalty,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer follow up,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cutover,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cutlery,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customs documentation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customs Handling,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customs Duty Payments,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customs Compliance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customization Exp,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customised Cable,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customisation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reinsurance Accounting,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reinforcement Detailing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regulatory affairs,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regulatory Risk,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer audits,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Supprt,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Support Quality,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Support Manager,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Support Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Support Freshers,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Support Executive,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regulatory Query,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regulatory Knowledge,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regulatory Filings,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regulatory Documentation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Regulatory Awareness,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rejection control,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Service Agent,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Segment,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Satisfaction Index,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Retation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Requ,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Relationship Management-Existing & New Business,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Success Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Strategy,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Specs,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Specifications,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Specification,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Service Delivery,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Service Coordinator,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rejection Analysis,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reissue,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Relationship building and client management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Query handling,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Profiling,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Portals,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Outstanding / Collections,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Needs,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Lifecycle Management,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Lifecycle,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Journey,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Relationship Marketing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Relationship Management for Financial Market products,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Relationship Executive,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Relationship & Negotiation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Relational Database Management System,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Relation Building,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rejection specialist,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Convincing Skills,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Care Representative,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Intelligence,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Inspection,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Handling Jobs,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Feedback,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Facing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Experience Manager,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Experience Design,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Release purchase order,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Release planning,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Release Notes,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Release Manager,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Relay Testing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Relative Valuation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Relationship-building,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Renewal Agency,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Renewal,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Renal Transplant,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
CustomApp Development,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Custom clearance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Custom Web Parts,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Custom Reports,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Custom Report,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Custom Objects,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Custom Content Creation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Custom App Development,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Custody operations,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Curtains,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Remedy API,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Remarketing,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Customer Drawing Study,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Report Development,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Report Building,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Report Automation,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Report,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Replication Strategy Support,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Replication Flow,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Replenishment,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Cursor,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Curriculum Strategy,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Current account acquisition,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Current Accounts,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Repair Engineer,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Repacking,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rental Sales,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Rent,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Renewal Insurance,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Repository,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Repos,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reporting data to Group Finance controller,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reporting and Communication,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
Reporting Dashboards,unmatched,0.0041,None,Monitor,Skill has low demand (0.00%) and is not currently in curriculum.
